player_positions,short_name,overall
CAM,Bruno Fernandes,88
CAM,M. Ã˜degaard,87
CAM,J. Musiala,86
CB,RÃºben Dias,89
CB,V. van Dijk,89
CB,Marquinhos,87
CDM,Rodri,89
CDM,Casemiro,89
CDM,J. Kimmich,88
CF,L. Messi,90
CF,K. Benzema,90
CF,C. Nkunku,86
CM,K. De Bruyne,91
CM,F. Valverde,88
CM,Bernardo Silva,88
GK,T. Courtois,90
GK,Alisson,89
GK,M. ter Stegen,89
LB,JoÃ£o Cancelo,86
LB,A. Robertson,86
LB,T. HernÃ¡ndez,85
LM,K. Coman,85
LM,F. Chiesa,84
LM,Oyarzabal,83
LW,Vini Jr.,89
LW,Neymar Jr,89
LW,H. Son,87
LWB,Grimaldo,84
LWB,F. Dimarco,82
LWB,Adryan Zonta,81
RB,T. Alexander-Arnold,86
RB,K. Trippier,85
RB,G. Di Lorenzo,85
RM,R. Mahrez,86
RM,M. Diaby,84
RM,S. Gnabry,84
RW,M. Salah,89
RW,B. Saka,86
RW,O. DembÃ©lÃ©,86
RWB,J. Frimpong,83
RWB,D. Dumfries,81
RWB,J. Clauss,81
ST,K. MbappÃ©,91
ST,E. Haaland,91
ST,R. Lewandowski,90
